Date : 2025-09-08 22:53:58
Directory : c:\Users\Administrator\Documents\horizoncraft\script
Total : 131 files,  7002 codes, 411 comments, 1004 blanks, all 8417 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        131 |      7,002 |        411 |      1,004 |      8,417 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        131 |      7,002 |        411 |      1,004 |      8,417 |
| . (Files)                                                                                               |          7 |        745 |         78 |        129 |        952 |
| Components                                                                                              |         29 |      1,006 |         20 |        135 |      1,161 |
| Components (Files)                                                                                      |         15 |        446 |         11 |         60 |        517 |
| Components\EntityComponents                                                                             |          2 |         17 |          0 |          4 |         21 |
| Components\Item                                                                                         |          1 |         42 |          2 |         11 |         55 |
| Components\Systems                                                                                      |         11 |        501 |          7 |         60 |        568 |
| Entity                                                                                                  |          3 |         85 |          3 |         10 |         98 |
| Events                                                                                                  |          6 |        476 |         19 |         74 |        569 |
| Events (Files)                                                                                          |          5 |        413 |         19 |         58 |        490 |
| Events\player                                                                                           |          1 |         63 |          0 |         16 |         79 |
| Interface                                                                                               |          2 |         14 |          5 |          3 |         22 |
| Inventory                                                                                               |         11 |        438 |         44 |         81 |        563 |
| Net                                                                                                     |         15 |        278 |         19 |         47 |        344 |
| Net (Files)                                                                                             |         14 |        271 |         19 |         46 |        336 |
| Net\SyncDatas                                                                                           |          1 |          7 |          0 |          1 |          8 |
| Recipes                                                                                                 |          5 |        303 |          6 |         58 |        367 |
| Services                                                                                                |         19 |      1,506 |        131 |        212 |      1,849 |
| Services\Events                                                                                         |          1 |         77 |          1 |          9 |         87 |
| Services\chunk                                                                                          |          5 |        588 |         99 |         86 |        773 |
| Services\entity                                                                                         |          3 |        254 |          7 |         33 |        294 |
| Services\player                                                                                         |          5 |        422 |         18 |         54 |        494 |
| Services\world                                                                                          |          5 |        165 |          6 |         30 |        201 |
| Test                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| WorldControl                                                                                            |         28 |      1,737 |         62 |        205 |      2,004 |
| WorldControl (Files)                                                                                    |         11 |        897 |         48 |        113 |      1,058 |
| WorldControl\Context                                                                                    |          3 |         51 |          0 |          5 |         56 |
| WorldControl\Struct                                                                                     |          5 |        219 |          6 |         36 |        261 |
| WorldControl\Struct (Files)                                                                             |          3 |         78 |          0 |         15 |         93 |
| WorldControl\Struct\structs                                                                             |          2 |        141 |          6 |         21 |        168 |
| WorldControl\Tool                                                                                       |          1 |        225 |          3 |         25 |        253 |
| WorldControl\Work                                                                                       |          2 |         40 |          3 |          7 |         50 |
| WorldControl\worldbiomes                                                                                |          6 |        305 |          2 |         19 |        326 |
| config                                                                                                  |          1 |         20 |          0 |          4 |         24 |
| rpc                                                                                                     |          4 |        394 |         24 |         45 |        463 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Administrator\Documents\horizoncraft\script\BlockMeta.cs                                       | C#       |         53 |         35 |         34 |        122 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\Component.cs                            | C#       |         23 |          1 |          1 |         25 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentAndSystem.cs                   | C#       |          9 |          2 |          0 |         11 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentManager.cs                     | C#       |        103 |          5 |         12 |        120 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\ComponentSystem.cs                      | C#       |         16 |          1 |          2 |         19 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\EntityComponents\EntityComponent.cs     | C#       |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\EntityComponents\ItemEntityComponent.cs | C#       |          8 |          0 |          2 |         10 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\ExpandComponent.cs                      | C#       |         13 |          0 |          1 |         14 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\FluidComponent.cs                       | C#       |         13 |          0 |          1 |         14 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\FurnaceComponent.cs                     | C#       |         13 |          0 |          2 |         15 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\IGetMask.cs                             | C#       |          6 |          0 |          1 |          7 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\InventoryComponent.cs                   | C#       |        104 |          2 |         17 |        123 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\ItemComponent.cs                        | C#       |         13 |          0 |          2 |         15 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\Item\ItemDurableComponent.cs            | C#       |         42 |          2 |         11 |         55 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\LambdaCreater.cs                        | C#       |         56 |          0 |          9 |         65 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\PhysicsComponent.cs                     | C#       |         12 |          0 |          2 |         14 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\SubBlockComponent.cs                    | C#       |         13 |          0 |          3 |         16 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\BlockCoverSystem.cs             | C#       |         10 |          0 |          2 |         12 |
| c:\Users\Administrator\Documents\horizoncraft\script\Components\Systems\BlockSpreadSystem.cs            | C#       |         21 |          0 |          4 |         25 |
